img_name,R,G,B
image2.jpg,171,53,25
image2.jpg,180,68,48
image2.jpg,144,44,29
image2.jpg,103,21,10
image2.jpg,180,115,109
image2.jpg,167,112,109
image2.jpg,143,202,220
image2.jpg,141,202,220
image2.jpg,141,203,218
image2.jpg,142,204,217
image2.jpg,142,204,215
image2.jpg,145,205,215
image2.jpg,146,205,213
image2.jpg,147,204,213
image2.jpg,150,202,213
image2.jpg,152,201,215
image2.jpg,152,201,216
image2.jpg,151,200,217
image2.jpg,149,200,221
image2.jpg,149,201,223
image2.jpg,147,201,225
image2.jpg,146,202,227
image2.jpg,151,201,226
image2.jpg,152,202,227
image2.jpg,154,204,229
image2.jpg,155,205,230
image2.jpg,155,205,228
image2.jpg,155,205,228
image2.jpg,157,205,228
image2.jpg,157,205,227
image2.jpg,156,204,226
image2.jpg,157,205,227
image2.jpg,159,207,229
image2.jpg,160,208,230
image2.jpg,160,208,230
image2.jpg,160,208,230
image2.jpg,161,209,231
image2.jpg,161,209,231
image2.jpg,159,211,233
image2.jpg,159,211,232
image2.jpg,158,213,233
image2.jpg,158,213,233
image2.jpg,157,214,233
image2.jpg,156,215,233
image2.jpg,157,216,234
image2.jpg,156,217,235
image2.jpg,156,217,235
image2.jpg,155,218,235
image2.jpg,155,218,235
image2.jpg,156,219,236
image2.jpg,156,219,236
image2.jpg,157,220,237
image2.jpg,157,220,237
image2.jpg,157,220,237
image2.jpg,165,220,225
image2.jpg,165,220,225
image2.jpg,167,220,226
image2.jpg,167,220,226
image2.jpg,170,220,227
image2.jpg,171,221,228
image2.jpg,171,221,228
image2.jpg,172,220,230
image2.jpg,171,221,228
image2.jpg,170,220,229
image2.jpg,169,219,228
image2.jpg,167,220,228
image2.jpg,165,220,227
image2.jpg,165,220,227
image2.jpg,164,221,228
image2.jpg,164,221,228
image2.jpg,162,221,225
image2.jpg,167,227,228
image2.jpg,171,231,232
image2.jpg,172,232,233
image2.jpg,169,229,229
image2.jpg,167,227,227
image2.jpg,167,229,226
image2.jpg,170,231,226
image2.jpg,162,223,218
image2.jpg,171,228,222
image2.jpg,188,240,236
image2.jpg,198,244,241
image2.jpg,194,233,232
image2.jpg,195,225,225
image2.jpg,200,226,227
image2.jpg,202,223,226
image2.jpg,202,233,225
image2.jpg,209,240,232
image2.jpg,200,230,220
image2.jpg,205,232,223
image2.jpg,201,224,214
image2.jpg,196,218,206
image2.jpg,214,232,220
image2.jpg,210,224,211
image2.jpg,212,223,209
image2.jpg,223,229,215
image2.jpg,220,224,209
image2.jpg,225,226,210
image2.jpg,235,234,216
image2.jpg,230,227,208
image2.jpg,215,210,191
image2.jpg,195,190,170
image2.jpg,181,158,142
image2.jpg,166,140,125
image2.jpg,140,114,97
image2.jpg,129,101,80
image2.jpg,98,66,45
image2.jpg,83,47,23
image2.jpg,85,45,20
image2.jpg,94,48,24
image2.jpg,118,66,42
image2.jpg,124,66,42
image2.jpg,114,50,23
image2.jpg,76,9,0
image2.jpg,109,36,3
image2.jpg,109,33,0
image2.jpg,99,21,0
image2.jpg,122,43,2
image2.jpg,122,40,18
image2.jpg,147,65,43
image2.jpg,148,64,40
image2.jpg,151,65,38
image2.jpg,188,101,73
image2.jpg,216,125,96
image2.jpg,217,122,94
image2.jpg,217,119,92
image2.jpg,204,102,77
image2.jpg,221,117,92
image2.jpg,201,93,67
image2.jpg,185,75,48
image2.jpg,191,80,52
image2.jpg,196,83,51
image2.jpg,203,90,56
image2.jpg,210,98,61
image2.jpg,195,99,61
image2.jpg,181,83,46
image2.jpg,180,81,40
image2.jpg,180,77,36
image2.jpg,194,87,45
image2.jpg,187,75,37
image2.jpg,180,67,33
image2.jpg,196,88,60
image2.jpg,178,83,61
image2.jpg,150,72,52
image2.jpg,194,131,114
image2.jpg,172,120,106
image2.jpg,149,200,221
image2.jpg,149,200,221
image2.jpg,148,200,221
image2.jpg,147,203,220
image2.jpg,146,203,220
image2.jpg,146,204,218
image2.jpg,147,205,219
image2.jpg,148,204,219
image2.jpg,150,203,219
image2.jpg,151,202,219
image2.jpg,150,201,220
image2.jpg,150,201,222
image2.jpg,150,200,223
image2.jpg,150,202,224
image2.jpg,149,203,227
image2.jpg,149,203,227
image2.jpg,148,204,227
image2.jpg,149,206,226
image2.jpg,151,208,228
image2.jpg,151,208,228
image2.jpg,151,208,228
image2.jpg,151,208,228
image2.jpg,151,208,227
image2.jpg,151,208,227
image2.jpg,150,207,226
image2.jpg,152,209,228
image2.jpg,153,210,229
image2.jpg,154,211,230
image2.jpg,154,211,230
image2.jpg,156,211,231
image2.jpg,156,211,231
image2.jpg,157,212,232
image2.jpg,160,210,235
image2.jpg,160,210,235
image2.jpg,160,212,236
image2.jpg,161,213,235
image2.jpg,159,214,235
image2.jpg,158,215,235
image2.jpg,159,216,236
image2.jpg,159,218,236
image2.jpg,158,217,235
image2.jpg,157,218,236
image2.jpg,157,218,236
image2.jpg,158,219,237
image2.jpg,158,219,238
image2.jpg,159,220,239
image2.jpg,159,220,239
image2.jpg,160,221,240
image2.jpg,164,222,226
image2.jpg,165,223,227
image2.jpg,168,223,228
image2.jpg,170,223,229
image2.jpg,171,224,230
image2.jpg,173,223,230
image2.jpg,173,223,232
image2.jpg,173,223,232
image2.jpg,174,224,233
image2.jpg,171,224,232
image2.jpg,169,224,231
image2.jpg,167,224,233
image2.jpg,165,224,232
image2.jpg,165,225,233
image2.jpg,164,227,234
image2.jpg,164,227,234
image2.jpg,176,226,235
image2.jpg,179,229,238
image2.jpg,181,230,237
image2.jpg,180,229,234
image2.jpg,177,225,229
image2.jpg,178,223,226
image2.jpg,182,226,225
image2.jpg,188,229,225
image2.jpg,201,237,233
image2.jpg,203,236,229
image2.jpg,205,230,224
image2.jpg,206,226,217
image2.jpg,212,223,215
image2.jpg,217,222,215
image2.jpg,223,223,215
image2.jpg,226,223,216
image2.jpg,220,234,219
image2.jpg,222,234,220
image2.jpg,227,238,224
image2.jpg,228,236,221
image2.jpg,228,232,217
image2.jpg,228,229,213
image2.jpg,222,219,202
image2.jpg,214,207,188
image2.jpg,202,191,171
image2.jpg,176,159,139
image2.jpg,135,117,95
image2.jpg,124,102,79
image2.jpg,119,95,71
image2.jpg,94,68,43
image2.jpg,72,44,20
image2.jpg,61,34,7
image2.jpg,106,46,22
image2.jpg,118,58,34
image2.jpg,98,38,12
image2.jpg,98,37,9
image2.jpg,100,36,8
image2.jpg,101,36,6
image2.jpg,108,41,12
image2.jpg,129,60,31
image2.jpg,149,75,50
image2.jpg,142,66,42
image2.jpg,128,50,27
image2.jpg,114,32,8
image2.jpg,144,60,34
image2.jpg,171,85,58
image2.jpg,152,67,36
image2.jpg,159,72,42
image2.jpg,163,79,53
image2.jpg,159,75,49
image2.jpg,183,97,70
image2.jpg,192,105,75
image2.jpg,224,135,103
image2.jpg,216,125,94
image2.jpg,189,96,65
image2.jpg,242,147,117
image2.jpg,233,133,107
image2.jpg,230,128,103
image2.jpg,203,99,74
image2.jpg,196,90,66
image2.jpg,196,90,64
image2.jpg,183,75,49
image2.jpg,184,76,48
image2.jpg,189,80,51
image2.jpg,179,80,49
image2.jpg,178,79,48
image2.jpg,163,63,29
image2.jpg,157,55,17
image2.jpg,169,63,24
image2.jpg,163,55,17
image2.jpg,142,33,0
image2.jpg,143,39,10
image2.jpg,117,27,0
image2.jpg,98,26,1
image2.jpg,139,83,58
image2.jpg,161,116,93
image2.jpg,156,196,221
image2.jpg,155,197,221
image2.jpg,153,199,223
image2.jpg,150,200,223
image2.jpg,147,202,223
